+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/hbm_heap_entries/inst/ONE_STACK.u_hbm_top/ONE_STACK_HBM.hbm_one_stack_intf/HBM_SNGLBLI_INTF_AXI<0>_INST/BREADY|
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[1]/D|
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[3]/D|
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[4]/D|
|      axi_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[2]/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                       bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][63]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                       bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][59]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                       bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][61]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                        bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][4]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                        bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][3]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                       bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][62]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                       bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][60]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/hbm_heap_entries/inst/ONE_STACK.u_hbm_top/ONE_STACK_HBM.hbm_one_stack_intf/HBM_SNGLBLI_INTF_AXI<0>_INST/AWID[4]|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                        bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][1]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |                                        bbq_inst/ila_1/inst/ila_core_inst/shifted_data_in_reg[7][2]_srl8/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/hbm_heap_entries/inst/ONE_STACK.u_hbm_top/ONE_STACK_HBM.hbm_one_stack_intf/HBM_SNGLBLI_INTF_AXI<0>_INST/AWBURST[0]|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/hbm_heap_entries/inst/ONE_STACK.u_hbm_top/ONE_STACK_HBM.hbm_one_stack_intf/HBM_SNGLBLI_INTF_AXI<0>_INST/ARLEN[2]|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/ila_1/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[5].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[28]/D|
|      bbq_clk_clk_wiz_0_1 |      axi_clk_clk_wiz_0_1 |bbq_inst/hbm_heap_entries/inst/ONE_STACK.u_hbm_top/ONE_STACK_HBM.hbm_one_stack_intf/HBM_SNGLBLI_INTF_AXI<0>_INST/WDATA[59]|
