Sample,Time,Read,Write,Overall,Read Min,Write Min,Overall Min,Read Max,Write Max,Overall Max,Read Average,Write Average,Overall Average,Read Average per Channel,Write Average per Channel,Overall Average per Channel,Latest Temperature,Average Temperature,MC0.AM.WR_CMD_PS0,MC0.AM.WR_CMD_PS1,MC0.AM.WR_AP_CMD_PS0,MC0.AM.WR_AP_CMD_PS1,MC0.AM.RD_CMD_PS0,MC0.AM.RD_CMD_PS1,MC0.AM.RD_AP_CMD_PS0,MC0.AM.RD_AP_CMD_PS1,MC0.AM.REFRESH_CMD_PS0,MC0.AM.REFRESH_CMD_PS1,MC0.AM.ACT_CMD_PS0,MC0.AM.ACT_CMD_PS1,MC0.AM.PRECHARGE_CMD_PS0,MC0.AM.PRECHARGE_CMD_PS1,MC0.AM.PRECHARGE_ALL_CMD_PS0,MC0.AM.PRECHARGE_ALL_CMD_PS1,MC0.AM.RD_TO_WR_SWITCH_PS0,MC0.AM.RD_TO_WR_SWITCH_PS1,MC0.AM.RMW_CYCLE_PS0,MC0.AM.RMW_CYCLE_PS1,
1,20:13:46,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48,005F5E10,00000000,00000000,00000000,02AEA54A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
2,20:13:46,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
3,20:13:47,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
4,20:13:48,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
5,20:14:03,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
6,20:14:07,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
7,20:14:07,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
8,20:14:08,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA529,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
9,20:14:09,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA549,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
10,20:14:10,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA53D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
11,20:14:11,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
12,20:14:12,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
13,20:14:13,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
14,20:14:14,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
15,20:14:15,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
16,20:14:16,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
17,20:14:17,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA52E,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
18,20:14:18,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
19,20:14:19,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
20,20:14:20,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA547,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DC,00000000,00000000,00000000,
21,20:14:21,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA527,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
22,20:14:22,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
23,20:14:23,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
24,20:14:24,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
25,20:14:25,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
26,20:14:26,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
27,20:14:27,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
28,20:14:28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
29,20:14:29,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
30,20:14:30,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA528,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
31,20:14:31,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
32,20:14:32,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
33,20:14:33,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
34,20:14:34,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
35,20:14:35,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA52A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DA,00000000,00000000,00000000,
36,20:14:36,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
37,20:14:37,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA539,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DF,00000000,00000000,00000000,
38,20:14:38,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
39,20:14:39,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E11,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
40,20:14:40,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA527,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
41,20:14:41,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
42,20:14:42,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
43,20:14:43,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA52D,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
44,20:14:44,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
45,20:14:45,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0E,00000000,00000000,00000000,02AEA535,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DB,00000000,00000000,00000000,
46,20:14:46,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0E,00000000,00000000,00000000,02AEA536,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DB,00000000,00000000,00000000,
47,20:14:47,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
48,20:14:48,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
49,20:14:49,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
50,20:14:50,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
51,20:14:51,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DC,00000000,00000000,00000000,
52,20:14:52,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA549,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
